Token,Full Name,Contract Address,decimals
stHYPE,Staked Hype,0xfFaa4a3D97fE9107Cef8a3F48c069F577Ff76cC1,18
LHYPE,Looped Hype,0x5748ae796AE46A4F1348a1693de4b50560485562,18
wstHYPE,Staked HYPE Shares,0x94e8396e0869c9F2200760aF0621aFd240E1CF38,18
HYPE,Wrapped Hype,0x5555555555555555555555555555555555555555,18
WHYPE,Wrapped Hype,0x5555555555555555555555555555555555555555,18
uBTC,Unit Bitcoin,0x9FDBdA0A5e284c32744D2f17Ee5c74B284993463,18
uETH,Unit Ethereum,0xBe6727B535545C67d5cAa73dEa54865B92CF7907,18
PURR,Purr,0x9b498C3c8A0b8CD8BA1D9851d40D186F1872b44E,18
mHYPE,Hyperpie Staked mHYPE,0xdAbB040c428436d41CECd0Fb06bCFDBAaD3a9AA8,18
PAWS,Paws,0xe3C80b7A1A8631E8cFd59c61E2a74Eb497dB28F6,18
PIP,PiP,0x1bEe6762F0B522c606DC2Ffb106C0BB391b2E309,18
SPH,SPH800,0xd2Fe47eeD2D52725D9e3Ae6df45593837f57C1A2,18
JEFF,JEFF,0x52e444545fbE9E5972a7A371299522f7871aec1F,18
LIQD,LiquidLaunch,0x1Ecd15865D7F8019D546f76d095d9c93cc34eDFa,18
CATBAL,CATBAL,0x11735dBd0B97CfA7Accf47d005673BA185f7fd49,18
fHYPE,flashHYPE,0x34a70Db6c0E3d5f93d7026fa6dCd6e11adFd56C5,18
USDXL,Last USD,0xca79db4B49f608eF54a5CB813FbEd3a6387bC645,18
VEGAS,Vegas,0xB09158c8297ACee00b900Dc1f8715Df46B7246a6,18
feUSD,feUSD,0x02c6a2fA58cC01A18B8D9E00eA48d65E4dF26c70,18
KEI,KEI Stablecoin,0xB5fE77d323d69eB352A02006eA8ecC38D882620C,18
BUDDY,alright buddy,0x47bb061C0204Af921F43DC73C7D7768d2672DdEE,18
MATE,HypeMate,0xC697Cfec4d5911961F072396FA997582Dc5851f1,18
wMATE,Wrapped HypeMate,0x6C268267b336B6B1C3DfE25c6950EC7c157e012B,18
BULBUL,BULBUL2DAO,0x99750393c5B40093A53ccD2d8e9f61EF4F401826,18
CAT,CAT,0x04d02CB2E963B4490Ee02b1925223d04F9d83FC6,18
FLY,HyperFly,0x3f244819a8359145A8E7CF0272955e4918A50627,18
GENESY,Genesy,0x6f7e96C0267CD22FE04346aF21f8c6ff54372939,18
HFUN,HFUN,0xa320D9f65ec992EfF38622c63627856382Db726c,18
HWTR,Hedgewater First AI investment DAO on Hyperliquid,0x5804Bf271D9e691611EEA1267B24C1f3D0723639,18
MILK,Supermilk,0xFE69bc93B936B34D371defa873686C116C8488c2,18
OMNIX,Omni X,0x45eC8F63Fe934C0213476CFb5870835E61dd11FA,18
QUANT,HypurrQuant,0xE443D488a8988262f35B921B36F1c8F5b2FA38e1,18 
uSOL,Unit Solana,0x068f321Fa8Fb9f0D135f290Ef6a3e2813e1c8A29,9
uFART,Unit Fartcoin,0x3B4575E689DEd21CAAD31d64C4df1f10F3B2CedF,6
RUB,Rub,0x7DCfFCb06B40344eecED2d1Cbf096B299fE4b405,18